series_id,time,value
WILLLRGCAP,2011-06-14,34307.23
WILLLRGCAP,2011-06-15,33717.67
WILLLRGCAP,2011-06-16,33771.85
WILLLRGCAP,2011-06-17,33870.56
WILLLRGCAP,2011-06-20,34054.17
WILLLRGCAP,2011-06-21,34530.37
WILLLRGCAP,2011-06-22,34314.33
WILLLRGCAP,2011-06-23,34227.09
WILLLRGCAP,2011-06-24,33831.63
WILLLRGCAP,2011-06-27,34130.73
WILLLRGCAP,2011-06-28,34584.32
WILLLRGCAP,2011-06-29,34876.23
WILLLRGCAP,2011-06-30,35218.19
WILLLRGCAP,2011-07-01,35729.30
WILLLRGCAP,2011-07-05,35693.64
WILLLRGCAP,2011-07-06,35748.46
WILLLRGCAP,2011-07-07,36122.08
